Date,Low,Close,High
1997/07/22 24:00:00,631.260009765625,645.239990234375,645.5900268554688
1997/07/23 24:00:00,645.239990234375,651.280029296875,659.3900146484375
1997/07/24 24:00:00,649.4000244140625,649.8400268554688,667.6699829101562
1997/07/25 24:00:00,649.4199829101562,652.3300170898438,660.3699951171875
1997/07/28 24:00:00,649.3900146484375,650.489990234375,654.760009765625
1997/07/29 24:00:00,640.3200073242188,645.6799926757812,650.6599731445312
1997/07/30 24:00:00,645.6799926757812,657.1400146484375,657.5999755859375
1997/07/31 24:00:00,646.969970703125,647.0599975585938,658.4199829101562
1997/08/01 24:00:00,644.219970703125,647.52001953125,651.5700073242188
1997/08/04 24:00:00,641.9099731445312,644.0,648.8699951171875
1997/08/05 24:00:00,644.0,649.3699951171875,649.8800048828125
1997/08/06 24:00:00,650.4600219726562,663.02001953125,663.1199951171875
1997/08/07 24:00:00,663.02001953125,673.1400146484375,675.02001953125
1997/08/08 24:00:00,656.8800048828125,661.1500244140625,674.0399780273438
1997/08/11 24:00:00,655.1099853515625,664.3499755859375,670.4199829101562
1997/08/12 24:00:00,664.3499755859375,667.6599731445312,670.739990234375
1997/08/13 24:00:00,651.1599731445312,651.1599731445312,667.6599731445312
1997/08/14 24:00:00,646.5,651.0999755859375,655.780029296875
1997/08/15 24:00:00,632.9500122070312,638.3099975585938,653.010009765625
1997/08/18 24:00:00,623.0,633.9299926757812,638.3099975585938
1997/08/19 24:00:00,633.9299926757812,647.989990234375,648.2000122070312
1997/08/20 24:00:00,647.989990234375,653.1400146484375,657.239990234375
1997/08/21 24:00:00,644.2000122070312,645.1400146484375,657.1500244140625
1997/08/22 24:00:00,621.760009765625,629.1500244140625,645.1400146484375
1997/08/25 24:00:00,619.0700073242188,624.6500244140625,632.2899780273438
1997/08/26 24:00:00,610.9500122070312,619.4000244140625,625.739990234375
1997/08/27 24:00:00,614.9500122070312,619.010009765625,625.47998046875
1997/08/28 24:00:00,608.0399780273438,611.8200073242188,625.9000244140625
1997/08/29 24:00:00,603.2000122070312,605.1699829101562,611.8200073242188
1997/09/01 24:00:00,605.1699829101562,615.4099731445312,615.6599731445312
1997/09/02 24:00:00,615.4099731445312,630.2999877929688,630.2999877929688
1997/09/03 24:00:00,621.4099731445312,622.5999755859375,637.77001953125
1997/09/04 24:00:00,614.0700073242188,621.510009765625,625.6500244140625
1997/09/05 24:00:00,615.489990234375,616.6099853515625,624.4299926757812
1997/09/08 24:00:00,614.8400268554688,627.3499755859375,627.3499755859375
1997/09/09 24:00:00,625.6099853515625,633.0,633.1500244140625
1997/09/10 24:00:00,625.02001953125,628.2899780273438,637.8499755859375
1997/09/11 24:00:00,614.1300048828125,617.4199829101562,628.2899780273438
1997/09/12 24:00:00,611.8599853515625,613.3300170898438,623.2100219726562
